n_components,max_iter,tol,bp_lo,bp_hi,avg_mi,avg_corr
3,5,0.0001,50,10000,0.08042002700078711,0.0016712567158179111
3,5,0.0001,50,10000,0.08042002700078711,0.0016712567158179111
3,5,0.1,50,10000,0.2717933113945268,0.10783496956889972
3,5,0.0001,50,10000,0.08042002700078711,0.0016712567158179111
3,5,0.0001,80,10000,0.08000078388553687,0.0017492568184083622
3,5,0.0001,50,10000,0.08042002700078711,0.0016712567158179111
3,5,0.0001,50,8000,0.08259195528263029,0.001612833768797569
3,1,0.0001,50,10000,0.2717933113945268,0.10783496956889972
3,2,0.0001,50,10000,0.2337731471941201,0.05756993811589811
3,5,0.0001,50,10000,0.08042002700078711,0.0016712567158179111
3,5,0.0001,50,10000,0.08042002700078711,0.0016712567158179111
2,5,0.0001,50,10000,0.10870517787259498,0.10101619006604365
